Country/Region,Region,Birth Rate,Business Tax Rate,CO2 Emissions,CO2 Emissions per Capita,Days to Start Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Total Health Expenditures,Tourism Inbound,Tourism Outbound
Jamaica,The Americas,0.015,0.487,"7,158",0.002660152,8,"2,830","13,230,844,040","4,917.02",0.053,255,414,0.016,0.277,0.205,76,70,1.161,"701,234,734.12","2,095,000,000","235,000,000"
Botswana,Africa,0.024,0.195,"5,233",0.002657234,60,"2,263","13,746,712,706","6,980.36",0.056,394,152,0.04,0.06,0.115,46,47,1.2,"769,815,911.54","80,000,000","89,000,000"
Namibia,Africa,0.027,0.223,"3,176",0.001457571,66,"1,552","11,141,417,478","5,113.16",0.082,416,339,0.038,0.116,0.097,65,60,0.895,"913,596,233.20","560,000,000","145,000,000"
Nepal,Asia,0.023,0.317,"3,755",0.000139872,31,"10,218","15,994,094,607",595.771626114,0.059,36,338,0.036,0.079,0.08,68,66,0.343,"943,651,581.81","378,000,000","528,000,000"
Zambia,Africa,0.043,0.143,"2,428",0.000183703,18,"8,054","16,190,196,832","1,224.95",0.061,75,183,0.064,0.1,0.209,56,53,0.412,"987,602,006.75","125,000,000","128,000,000"
Trinidad and Tobago,The Americas,0.015,0.331,"50,682",0.038161427,41,"21,370","20,758,191,858","15,630.05",0.052,805,210,0.021,0.485,0.093,73,66,1.426,"1,079,425,976.62","630,000,000","97,000,000"
Bolivia,The Americas,0.026,0.8,"15,456",0.001521769,49,"7,341","19,649,631,308","1,934.67",0.055,106,"1,080",0.035,0.224,0.099,69,64,0.707,"1,080,729,721.94","339,000,000","421,000,000"
Bahrain,Middle East,0.016,0.135,"24,202",0.019338193,9,"9,472","25,713,547,869","20,545.97",0.043,747,36,0.007,0.55,0.072,77,76,1.252,"1,105,682,558.37","2,163,000,000","684,000,000"
Georgia,Asia,0.014,0.153,"6,241",0.00140159,3,"3,122","11,638,536,862","2,613.76",0.101,267,387,0.015,0.269,0.158,77,70,0.906,"1,175,492,223.06","737,000,000","329,000,000"
Iceland,Europe,0.015,0.261,"1,962",0.006169016,5,"5,369","12,564,705,489","39,506.56",0.094,"3,730",140,0.002,0.934,0.103,84,80,1.072,"1,181,082,315.97","562,000,000","599,000,000"
Cameroon,Africa,0.039,0.488,"7,235",0.000350799,19,"6,944","22,493,301,699","1,090.62",0.053,57,654,0.066,0.043,,55,53,0.419,"1,192,144,990.05","171,000,000","265,000,000"
Estonia,Europe,0.012,0.486,"18,339",0.013773447,7,"5,568","19,033,475,893","14,295.03",0.063,894,81,0.004,0.741,0.078,81,71,1.273,"1,199,108,981.26","1,412,000,000","723,000,000"
Honduras,The Americas,0.027,0.441,"8,108",0.001063874,14,"4,567","15,839,344,592","2,078.33",0.087,176,224,0.021,0.111,0.189,75,70,1.247,"1,378,022,979.50","627,000,000","406,000,000"
Ethiopia,Africa,0.035,0.303,"6,494",7.46E-05,15,"33,250","29,385,611,867",337.396142817,0.047,14,198,0.051,0.008,,63,60,0.079,"1,381,123,757.75","1,434,000,000","143,000,000"
Afghanistan,Asia,0.038,0.363,"8,236",0.000290022,7,,"15,936,784,436",561.197617478,0.087,43,275,0.075,0.04,0.157,61,58,0.458,"1,386,500,245.93","138,000,000","86,000,000"
Kenya,Africa,0.037,0.493,"12,427",0.00030377,33,"19,719","32,440,133,261",792.979036962,0.044,35,393,0.052,0.14,0.144,61,58,0.61,"1,427,365,863.48","1,620,000,000","212,000,000"
Congo (Kinshasa),Africa,0.044,3.391,"3,040",4.89E-05,84,"23,766","20,523,286,237",330.00326585,0.07,15,336,0.092,0.007,0.565,51,47,0.19,"1,436,630,036.59","10,700,000","150,000,000"
Uganda,Africa,0.045,0.35,"3,784",0.000111336,24,,"16,030,996,179",471.677279893,0.092,43,161,0.051,0.125,0.202,58,56,0.377,"1,474,851,648.47","802,000,000","464,000,000"
El Salvador,The Americas,0.02,0.348,"6,249",0.001004954,17,"4,210","21,418,300,000","3,444.46",0.069,238,320,0.015,0.159,,76,67,1.238,"1,477,862,700","646,000,000","280,000,000"
Latvia,Europe,0.009,0.376,"7,616",0.003630894,16,"4,644","24,009,680,460","11,446.51",0.065,742,293,0.008,0.684,0.096,78,69,1.103,"1,560,629,229.90","963,000,000","771,000,000"
Cote d'Ivoire,Africa,0.037,0.442,"5,805",0.000305903,40,"9,800","22,920,779,598","1,207.85",0.069,83,270,0.077,0.021,,50,49,0.822,"1,581,533,792.26","213,000,000","569,000,000"
Yemen,Middle East,0.032,0.478,"21,852",0.000959979,12,"8,360","31,743,751,169","1,394.53",0.051,66,248,0.046,0.124,0.238,64,61,0.487,"1,618,931,309.62","1,161,000,000","252,000,000"
Bosnia and Herzegovina,Europe,0.009,0.222,"31,125",0.008092973,64,"6,451","16,775,919,279","4,361.99",0.098,427,422,0.007,0.52,0.079,78,73,0.809,"1,644,040,089.34","662,000,000","247,000,000"
Oman,Middle East,0.022,0.216,"57,202",0.02040911,12,"23,158","58,813,004,375","20,983.90",0.028,582,62,0.01,0.358,0.068,78,74,1.643,"1,646,764,122.50","1,246,000,000","1,768,000,000"
Tanzania,Africa,0.041,0.444,"6,846",0.000152224,26,"20,043","22,915,004,297",509.524295777,0.072,37,172,0.041,0.029,0.145,60,58,0.467,"1,649,880,309.38","1,279,000,000","861,000,000"
Sri Lanka,Asia,0.018,0.966,"12,710",0.000615407,37,"9,844","49,567,521,670","2,400.02",0.034,82,256,0.009,0.12,0.102,77,71,0.836,"1,685,295,736.78","1,044,000,000","828,000,000"
Ghana,Africa,0.032,0.325,"8,999",0.000370895,12,"10,011","32,174,210,793","1,326.07",0.053,70,224,0.055,0.078,,62,60,0.719,"1,705,233,172.03","706,000,000","882,000,000"
Cyprus,Europe,0.012,0.223,"7,708",0.006983877,8,"2,443","23,132,450,331","20,959.29",0.074,"2,012",149,0.003,0.53,,81,77,0.937,"1,711,801,324.49","2,371,000,000","1,457,000,000"
Paraguay,The Americas,0.024,0.35,"5,075",0.000785638,35,"4,789","20,030,529,733","3,100.84",0.087,271,311,0.021,0.198,0.26,74,70,0.917,"1,742,656,086.77","243,000,000","269,000,000"
Uzbekistan,Asia,0.023,0.956,"104,443",0.003656661,15,"43,747","39,332,770,929","1,377.08",0.054,75,205,0.04,0.2,,71,65,0.755,"2,123,969,630.17","121,000,000",
Jordan,Middle East,0.029,0.312,"20,821",0.003443764,12,"7,105","26,425,379,367","4,370.72",0.085,361,136,0.018,0.272,0.09,75,72,1.026,"2,246,157,246.20","4,390,000,000","1,736,000,000"
Panama,The Americas,0.02,0.438,"9,633",0.002618995,9,"3,710","28,814,100,000","7,833.90",0.085,627,482,0.017,0.401,0.077,80,74,1.807,"2,449,198,500","2,552,000,000","575,000,000"
Libya,Africa,0.022,,"59,035",0.009773016,,"21,611","74,755,288,917","12,375.45",0.033,389,,0.014,0.14,0.06,77,73,1.804,"2,466,924,534.26","170,000,000","2,184,000,000"
Lithuania,Europe,0.012,0.451,"13,561",0.004378355,22,"7,052","36,709,511,568","11,852.17",0.07,782,175,0.006,0.621,0.06,79,68,1.594,"2,569,665,809.76","1,034,000,000","936,000,000"
Qatar,Middle East,0.012,0.113,"70,531",0.040310039,10,"28,973","125,000,000,000","71,440.29",0.021,"1,496",36,0.008,0.69,0.073,79,77,1.25,"2,625,000,000",,
Lebanon,Middle East,0.013,0.302,"20,403",0.00469997,9,"6,382","38,009,950,249","8,755.85",0.072,620,180,0.009,0.437,0.083,81,77,0.66,"2,736,716,417.93","8,026,000,000","4,868,000,000"
Azerbaijan,Asia,0.018,0.409,"45,731",0.005050732,8,"11,586","52,902,703,376","5,842.81",0.053,310,306,0.034,0.46,0.207,74,67,1.001,"2,803,843,278.93","792,000,000","856,000,000"
Dominican Republic,The Americas,0.022,0.401,"20,964",0.002092885,19,"7,178","50,980,167,048","5,089.47",0.055,278,324,0.026,0.314,0.121,76,70,0.888,"2,803,909,187.64","4,209,000,000","554,000,000"
Angola,Africa,0.046,0.521,"30,418",0.001555978,66,"13,378","82,470,894,868","4,218.65",0.034,144,282,0.11,0.1,0.225,52,49,0.481,"2,804,010,425.51","726,000,000","275,000,000"
Guatemala,The Americas,0.032,0.409,"11,118",0.000775229,37,"10,251","41,338,007,893","2,882.39",0.069,198,344,0.028,0.105,0.133,75,68,1.26,"2,852,322,544.62","1,379,000,000","1,002,000,000"
Tunisia,Africa,0.019,0.623,"25,878",0.0024531,11,"9,674","44,054,072,936","4,176.10",0.067,282,144,0.015,0.368,,77,73,1.045,"2,951,622,886.71","3,477,000,000","611,000,000"
Belarus,Europe,0.011,0.805,"62,222",0.006556586,10,"27,686","55,220,932,614","5,818.85",0.056,323,798,0.005,0.318,0.092,77,65,1.089,"3,092,372,226.38","665,000,000","748,000,000"
Kuwait,Middle East,0.021,0.107,"93,696",0.031319905,35,"32,586","120,000,000,000","40,112.58",0.028,"1,116",98,0.009,0.614,0.049,75,73,1.33,"3,360,000,000","574,000,000","7,106,000,000"
Uruguay,The Americas,0.015,0.419,"6,645",0.001970651,65,"4,174","38,881,102,075","11,530.64",0.087,998,336,0.011,0.464,0.103,80,73,1.316,"3,382,655,880.53","1,669,000,000","549,000,000"
Costa Rica,The Americas,0.016,0.553,"7,770",0.001663924,60,"4,646","36,298,327,670","7,773.19",0.097,750,272,0.009,0.365,0.171,82,77,0.67,"3,520,937,783.99","2,179,000,000","533,000,000"
Bulgaria,Europe,0.01,0.28,"44,679",0.006041296,18,"17,897","47,726,575,741","6,453.38",0.076,480,616,0.011,0.462,0.111,77,70,1.38,"3,627,219,756.32","4,035,000,000","1,382,000,000"
Bangladesh,Asia,0.021,0.35,"56,153",0.000371565,19,"30,756","100,000,000,000",661.70180772,0.037,24,302,0.039,0.037,0.13,70,69,0.449,"3,700,000,000","103,000,000","835,000,000"
Luxembourg,Europe,0.012,0.2,"10,829",0.021360955,19,"4,220","52,053,324,635","102,678.80",0.072,"7,592",59,0.002,0.906,,84,78,1.431,"3,747,839,373.72","4,115,000,000","3,549,000,000"
Serbia,Europe,0.009,0.34,"45,962",0.006303559,13,"15,536","36,990,001,284","5,073.07",0.107,546,279,0.007,0.409,0.173,77,71,1.253,"3,957,930,137.39","951,000,000","1,106,000,000"
Slovenia,Europe,0.011,0.346,"15,328",0.007482245,6,"7,230","46,999,407,184","22,942.40",0.089,"2,044",260,0.003,0.7,,83,76,1.033,"4,182,947,239.38","2,721,000,000","1,377,000,000"
Sudan,Africa,0.035,0.361,"14,173",0.000397537,36,"16,605","65,632,237,471","1,840.91",0.065,119,180,0.055,0.167,,63,60,0.415,"4,266,095,435.62","94,000,000","1,116,000,000"
Iraq,Middle East,0.032,0.278,"114,667",0.00370343,32,"37,845","143,000,000,000","4,618.51",0.031,141,312,0.03,0.025,0.133,73,65,0.751,"4,433,000,000","1,736,000,000","1,675,000,000"
Croatia,Europe,0.01,0.221,"20,884",0.00472726,9,"8,564","58,873,994,412","13,326.60",0.078,"1,051",196,0.005,0.566,0.104,80,74,1.136,"4,592,171,564.14","8,255,000,000","859,000,000"
Ecuador,The Americas,0.022,0.353,"32,636",0.002175578,56,"12,428","67,513,698,000","4,500.59",0.072,335,654,0.021,0.29,,79,73,0.985,"4,860,986,256","786,000,000","863,000,000"
Pakistan,Asia,0.027,0.309,"161,396",0.00093212,21,"84,311","177,000,000,000","1,022.24",0.03,30,560,0.073,0.08,0.14,67,65,0.573,"5,310,000,000","998,000,000","1,370,000,000"
Morocco,Africa,0.022,0.496,"50,608",0.001599375,12,"16,183","90,770,671,432","2,868.64",0.059,168,358,0.029,0.52,,72,68,1.011,"5,355,469,614.49","8,176,000,000","1,879,000,000"
Kazakhstan,Asia,0.023,0.286,"248,729",0.015239271,19,"74,443","148,000,000,000","9,067.75",0.043,398,271,0.019,0.316,,73,64,1.219,"6,364,000,000","1,236,000,000","1,489,000,000"
Algeria,Africa,0.025,0.72,"123,475",0.003331506,25,"40,105","161,000,000,000","4,343.98",0.042,181,451,0.024,0.125,0.08,72,69,0.884,"6,762,000,000","323,000,000","737,000,000"
Cuba,The Americas,0.01,,"38,364",0.003400531,,"11,308","64,328,220,000","5,701.96",0.106,583,,0.005,0.159,,81,77,0.089,"6,818,791,320","2,218,000,000",
Peru,The Americas,0.021,0.371,"57,579",0.00196765,26,"19,207","149,000,000,000","5,091.78",0.049,257,380,0.015,0.348,0.19,77,71,0.995,"7,301,000,000","2,475,000,000","1,640,000,000"
Slovakia,Europe,0.011,0.474,"36,094",0.006694701,18,"17,828","87,077,443,709","16,151.09",0.09,"1,446",257,0.007,0.757,,79,72,1.09,"7,836,969,933.81","2,335,000,000","2,146,000,000"
Vietnam,Asia,0.016,0.329,"150,230",0.001728122,38,"58,912","116,000,000,000","1,334.37",0.069,83,941,0.021,0.307,0.131,80,71,1.253,"8,004,000,000","4,450,000,000","1,470,000,000"
Philippines,Asia,0.025,0.438,"81,591",0.000873151,37,"40,512","200,000,000,000","2,140.31",0.042,90,195,0.025,0.25,0.077,72,65,0.89,"8,400,000,000","3,228,000,000","4,194,000,000"
United Arab Emirates,Middle East,0.016,0.141,"167,597",0.019853849,15,"63,099","287,000,000,000","33,998.55",0.032,"1,283",12,0.008,0.68,,78,76,1.294,"9,184,000,000","8,577,000,000","11,818,000,000"
Singapore,Asia,0.009,0.254,"13,520",0.002663147,3,"34,280","236,000,000,000","46,486.89",0.041,"1,893",84,0.002,0.71,0.054,84,79,1.454,"9,676,000,000","14,178,000,000","18,700,000,000"
Romania,Europe,0.011,0.435,"78,745",0.003889243,9,"35,031","165,000,000,000","8,149.41",0.059,457,222,0.012,0.399,0.141,77,70,1.114,"9,735,000,000","1,631,000,000","1,896,000,000"
